Station;Fuseau;Chronique;unite
PIZ;UTC+00;HT;cm
DateHeure;valeur;qualite
13/07/2024 19:00;53.1;v
13/07/2024 19:05;53.3;v
13/07/2024 19:45;53.1;v
13/07/2024 20:40;53.1;v
13/07/2024 20:50;52.9;v
13/07/2024 21:00;53.1;v
13/07/2024 22:00;52.8;v
14/07/2024 02:10;52.8;v
14/07/2024 02:30;53.0;v
14/07/2024 03:00;52.8;v
14/07/2024 03:40;52.8;v
14/07/2024 05:25;53.1;v
14/07/2024 05:35;52.9;v
14/07/2024 05:50;53.1;v
14/07/2024 11:45;53.1;v
14/07/2024 12:10;52.9;v
14/07/2024 12:20;53.0;v
14/07/2024 12:35;52.8;v
14/07/2024 14:05;52.8;v
14/07/2024 14:30;52.7;v
14/07/2024 14:40;52.5;v
14/07/2024 16:00;52.5;v
14/07/2024 16:40;52.2;v
14/07/2024 17:35;52.1;v
14/07/2024 17:45;51.9;v
14/07/2024 18:25;51.9;v
14/07/2024 19:20;51.7;v
14/07/2024 19:50;51.8;v
14/07/2024 20:30;51.6;v
14/07/2024 20:50;51.7;v
14/07/2024 21:00;51.5;v
15/07/2024 00:35;51.5;v
15/07/2024 00:55;51.7;v
15/07/2024 01:10;51.5;v
15/07/2024 01:45;51.6;v
15/07/2024 01:50;51.7;v
15/07/2024 01:55;51.6;v
15/07/2024 02:20;51.8;v
15/07/2024 03:50;51.8;v
15/07/2024 04:25;52.0;v
15/07/2024 04:30;51.9;v
15/07/2024 04:55;52.2;v
15/07/2024 07:25;52.2;v
15/07/2024 07:35;52.4;v
15/07/2024 07:40;52.2;v
15/07/2024 08:00;52.4;v
15/07/2024 08:30;52.2;v
15/07/2024 08:35;52.4;v
15/07/2024 09:20;52.3;v
15/07/2024 09:25;52.4;v
15/07/2024 09:30;52.3;v
15/07/2024 09:50;52.4;v
15/07/2024 10:05;52.3;v
15/07/2024 10:15;52.4;v
15/07/2024 10:25;52.3;v
15/07/2024 10:35;52.4;v
15/07/2024 11:20;52.2;v
15/07/2024 11:50;52.4;v
15/07/2024 11:55;52.3;v
15/07/2024 12:10;52.2;v
15/07/2024 12:35;52.3;v
15/07/2024 14:45;52.0;v
15/07/2024 14:50;51.8;v
15/07/2024 14:55;51.4;v
15/07/2024 15:00;52.0;v
15/07/2024 15:15;52.1;v
15/07/2024 15:20;52.3;v
15/07/2024 15:30;52.4;v
15/07/2024 15:35;52.2;v
15/07/2024 15:45;52.4;v
15/07/2024 15:50;52.2;v
15/07/2024 16:05;52.3;v
15/07/2024 16:20;52.5;v
15/07/2024 16:25;52.7;v
15/07/2024 16:55;53.1;v
15/07/2024 17:00;52.9;v
15/07/2024 17:05;53.0;v
15/07/2024 17:30;52.9;v
15/07/2024 18:10;53.2;v
15/07/2024 18:15;53.4;v
15/07/2024 18:30;53.2;v
15/07/2024 19:00;53.1;v
15/07/2024 19:10;53.7;v
15/07/2024 19:20;54.6;v
15/07/2024 19:25;54.9;v
15/07/2024 19:35;55.1;v
15/07/2024 19:55;55.0;v
15/07/2024 20:05;54.8;v
15/07/2024 20:45;54.5;v
15/07/2024 21:05;54.0;v
15/07/2024 21:25;53.7;v
15/07/2024 21:45;53.8;v
15/07/2024 22:05;54.1;v
15/07/2024 22:30;54.1;v
15/07/2024 22:55;54.5;v
15/07/2024 23:35;54.6;v
16/07/2024 00:05;55.0;v
16/07/2024 00:30;55.1;v
16/07/2024 02:35;54.4;v
16/07/2024 02:40;54.5;v
16/07/2024 02:50;54.2;v
16/07/2024 03:40;53.9;v
16/07/2024 04:55;53.7;v
16/07/2024 05:00;53.6;v
16/07/2024 06:25;53.6;v
16/07/2024 06:40;53.4;v
16/07/2024 08:00;53.5;v
16/07/2024 08:20;53.0;v
16/07/2024 09:00;52.5;v
16/07/2024 10:25;52.5;v
16/07/2024 10:50;52.5;v
16/07/2024 10:55;52.3;v
16/07/2024 11:05;52.5;v
16/07/2024 11:15;52.3;v
16/07/2024 11:25;52.4;v
16/07/2024 11:35;52.3;v
16/07/2024 11:55;52.4;v
16/07/2024 12:20;52.2;v
16/07/2024 13:25;52.4;v
16/07/2024 13:30;52.2;v
16/07/2024 13:55;52.4;v
16/07/2024 14:00;52.2;v
16/07/2024 14:35;52.2;v
16/07/2024 15:15;51.9;v
16/07/2024 15:35;52.1;v
16/07/2024 16:20;51.8;v
16/07/2024 16:50;51.8;v
16/07/2024 16:55;51.7;v
16/07/2024 17:10;51.7;v
16/07/2024 17:30;51.5;v
16/07/2024 19:00;51.5;v
16/07/2024 19:05;51.3;v
16/07/2024 20:10;51.3;v
16/07/2024 20:20;51.1;v
16/07/2024 20:40;51.2;v
16/07/2024 20:45;51.1;v
16/07/2024 21:00;51.3;v
16/07/2024 21:35;51.0;v
16/07/2024 21:55;51.1;v
16/07/2024 22:15;50.9;v
16/07/2024 23:20;50.8;v
17/07/2024 02:50;51.0;v
17/07/2024 03:05;50.9;v
17/07/2024 04:10;51.2;v
17/07/2024 05:40;51.3;v
17/07/2024 05:50;51.4;v
17/07/2024 06:00;51.3;v
17/07/2024 06:25;51.5;v
17/07/2024 10:35;51.6;v
17/07/2024 11:35;51.5;v
17/07/2024 12:10;51.6;v
17/07/2024 12:35;51.4;v
17/07/2024 12:45;51.6;v
17/07/2024 12:55;51.3;v
17/07/2024 13:00;51.4;v
17/07/2024 13:15;51.3;v
17/07/2024 14:35;51.3;v
17/07/2024 15:00;51.0;v
17/07/2024 15:05;51.1;v
17/07/2024 16:00;50.9;v
17/07/2024 16:45;50.9;v
17/07/2024 16:50;50.7;v
17/07/2024 17:00;50.9;v
17/07/2024 17:25;50.7;v
17/07/2024 19:15;50.5;v
17/07/2024 19:50;50.3;v
17/07/2024 20:05;50.5;v
17/07/2024 20:30;50.3;v
17/07/2024 22:25;50.2;v
17/07/2024 22:35;50.1;v
17/07/2024 22:40;50.2;v
17/07/2024 23:10;50.3;v
17/07/2024 23:20;50.1;v
17/07/2024 23:25;50.3;v
18/07/2024 00:20;50.3;v
18/07/2024 00:50;50.0;v
18/07/2024 01:00;50.2;v
18/07/2024 02:05;50.1;v
18/07/2024 03:05;50.3;v
18/07/2024 05:10;50.3;v
18/07/2024 05:35;50.6;v
18/07/2024 07:00;50.6;v
18/07/2024 07:25;50.7;v
18/07/2024 07:30;50.6;v
18/07/2024 08:05;50.9;v
18/07/2024 08:35;50.8;v
18/07/2024 08:40;50.9;v
18/07/2024 10:20;50.8;v
18/07/2024 10:50;50.9;v
18/07/2024 10:55;50.8;v
18/07/2024 11:00;50.9;v
18/07/2024 11:20;50.8;v
18/07/2024 11:25;50.7;v
18/07/2024 11:45;50.8;v
18/07/2024 12:25;50.8;v
18/07/2024 12:35;50.9;v
18/07/2024 14:00;50.6;v
18/07/2024 15:20;50.6;v
18/07/2024 15:40;50.4;v
18/07/2024 15:55;50.5;v
18/07/2024 16:35;50.4;v
18/07/2024 17:05;50.5;v
18/07/2024 17:50;50.1;v
18/07/2024 18:10;50.2;v
18/07/2024 18:25;50.0;v
18/07/2024 19:30;49.9;v
18/07/2024 20:00;49.7;v
18/07/2024 20:05;49.9;v
18/07/2024 20:25;49.9;v
18/07/2024 20:35;49.7;v
18/07/2024 20:40;49.8;v
18/07/2024 20:45;49.7;v
18/07/2024 21:05;49.8;v
18/07/2024 21:20;49.6;v
18/07/2024 21:25;49.8;v
18/07/2024 21:55;49.6;v
18/07/2024 22:35;49.6;v
18/07/2024 22:45;49.6;v
18/07/2024 22:50;49.4;v
18/07/2024 23:05;49.6;v
18/07/2024 23:40;49.4;v
19/07/2024 00:10;49.4;v
19/07/2024 00:25;49.6;v
19/07/2024 00:55;49.4;v
19/07/2024 01:20;49.6;v
19/07/2024 01:40;49.3;v
19/07/2024 02:50;49.7;v
19/07/2024 04:10;49.6;v
19/07/2024 04:45;49.8;v
19/07/2024 04:55;49.7;v
19/07/2024 05:15;49.9;v
19/07/2024 05:40;49.8;v
19/07/2024 07:35;50.2;v
19/07/2024 07:40;50.0;v
19/07/2024 07:45;50.2;v
19/07/2024 08:00;50.0;v
19/07/2024 08:40;50.3;v
19/07/2024 10:45;50.3;v
19/07/2024 11:40;50.2;v
19/07/2024 12:50;50.3;v
19/07/2024 13:25;50.2;v
19/07/2024 13:40;50.0;v
19/07/2024 14:00;50.0;v
19/07/2024 14:10;50.2;v
19/07/2024 14:35;50.0;v
19/07/2024 14:40;50.2;v
19/07/2024 14:45;50.0;v
19/07/2024 16:15;50.1;v
19/07/2024 16:50;49.8;v
19/07/2024 17:05;49.9;v
19/07/2024 17:20;49.7;v
19/07/2024 17:30;49.8;v
19/07/2024 17:40;49.6;v
19/07/2024 18:45;49.6;v
19/07/2024 18:50;49.4;v
19/07/2024 18:55;49.6;v
19/07/2024 19:05;49.4;v
19/07/2024 19:20;49.5;v
19/07/2024 20:05;49.3;v
19/07/2024 22:50;49.3;v
19/07/2024 23:00;49.2;v
20/07/2024 00:45;49.3;v
20/07/2024 01:20;49.1;v
20/07/2024 01:25;49.3;v
20/07/2024 01:50;49.1;v
20/07/2024 02:00;49.3;v
20/07/2024 02:05;49.2;v
20/07/2024 02:35;49.3;v
20/07/2024 04:15;49.3;v
20/07/2024 05:00;49.6;v
20/07/2024 05:35;49.6;v
20/07/2024 05:50;49.4;v
20/07/2024 06:00;49.5;v
20/07/2024 06:05;49.6;v
20/07/2024 07:05;49.6;v
20/07/2024 07:20;49.8;v
20/07/2024 07:25;49.7;v
20/07/2024 07:30;49.8;v
20/07/2024 07:50;49.7;v
20/07/2024 08:10;50.0;v
20/07/2024 08:30;49.9;v
20/07/2024 08:35;50.0;v
20/07/2024 08:40;49.9;v
20/07/2024 09:15;49.9;v
20/07/2024 11:40;50.0;v
20/07/2024 12:10;49.9;v
20/07/2024 12:20;50.0;v
